//Aristophanes, Frogs

label	text	sentence
Aristophanes Frogs 1.1.1-2.1.7	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:1.1.text.token1-2.1.text.token7
Aristophanes Frogs 3.1.1-4.1.4	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:3.1.text.token1-4.1.text.token4
Aristophanes Frogs 4.1.5-4.1.10	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:4.1.text.token5-4.1.text.token10
Aristophanes Frogs 5.1.1-5.1.5	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:5.1.text.token1-5.1.text.token5
Aristophanes Frogs 5.2.1-5.2.7	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:5.2.text.token1-5.2.text.token7
Aristophanes Frogs 6.1.1-6.1.3	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:6.1.text.token1-6.1.text.token3
Aristophanes Frogs 6.1.4-6.1.8	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:6.1.text.token4-6.1.text.token8
Aristophanes Frogs 6.2.1-7.1.3	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:6.2.text.token1-7.1.text.token3
Aristophanes Frogs 7.1.4-7.2.3	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:7.1.text.token4-7.2.text.token3
Aristophanes Frogs 8.1.1-8.1.7	texts/Aristophanes_Frogs_tokenized.cex	urn:cts:greekLit:tlg0019.tlg009.fu-sp.tok:8.1.text.token1-8.1.text.token7


